Why am I asking questions?,2
Why am I asking questions?,2
who is it?,2
where am I?,0
what is today's date?,2
why are you so slow?,1
Is my name tim?,1
This is digital brutality!,2
Where in the world is Carmen Santiego?,1what is the meaning?,1
is Fred really Fred?,1
Is this much faster than previously?,1
why asking for clarification?,1
Am I a human?,1
How long is Scot going to live?,1
How am I?,1
Are fish funny?,1
How old am I?,1
What is the flight speed?,1
Why am I sleeping?,0
What color are oranges?,0
What color is water?,0
What is most common car color?,2
Where is Ted Lasso?,0
What channel is the super bowl on this year?,0
Who do you love?,2
Who is SRV?,2
Do you like big booties?,0
Are kitties nice?,2
What is your favorite movie?,0
Where am I currently located?,0
Why do you ask so many questions?,2
What type of dog do you like?,1
Do you like to eat dog meat?,0
What is Logan singing?,0
Have you seen the movie ghostbusters?,0
What is your favorite type of music?,0
Fred is the bomb?,1
Are the instructions unclear?,1
Is it cold outside?,0
What is Logan's favorite game?,1
What is Logan's favorite color?,2
Why do I type?,1
Why is carpet heavy?,0
Where do I live?,0
What is the optimal age for harvesting a dog?,1
"What is better, Android or iPhone?",0
What color am I thinking?,2
My name is?,2
Have you ever heard of slim shady?,0
Do you believe in life after love?,1
Is the sky blue?,0
Am i awesome,0
Which direction is the sky?,0
Is the sky green?,0
Should i jump off a bridge?,0
What is 17777 +4454151324?,0
How many teeth does a shark have?,0
How is a shark born?,0
Is the earth flat?,1
Is the earth round?,0
Are you gay,0
Am i gay,1
Do you have a name?,0
How many days til christmas?,0
When will i die?,1
How old am I,0
"If you could have dinner with any historical figure, who would it be?",0
"If you could visit any place in the world, where would you go?",0
What's your go-to comfort food?,1
"If you had a superpower, what would it be?",0
What's a skill you've always wanted to learn?,0
Do you prefer the beach or the mountains?,0
What's your favorite movie genre?,1
"If you could time travel, would you go to the past or the future?",1
What's the most adventurous thing you've ever done?,0
"If you could meet any fictional character, who would it be?",1
What's your favorite type of music?,1
"If you could have any job for a day, what would it be?",1
What's your spirit animal?,1
What's your favorite way to relax after a long day?,1
"If you could have a conversation with your younger self, what advice would you give?",1
What's your dream car?,1
Are you an early bird or a night owl?,1
"If you could have any pet, what would it be?",1
What's your favorite season and why?,1
What's the last TV show you binge-watched?,1
"If you could witness any historical event, what would it be?",1
What's your favorite dessert?,1
What's your biggest pet peeve?,1
"If you could have dinner with any fictional character, who would it be?",1
What's the most interesting place you've ever visited?,1
"If you could master any instrument, what would it be?",1
What's your favorite board game?,1
Do you have a favorite quote or motto?,1
"If you could have any talent in the world, what would it be?",2
What's your favorite childhood memory?,2
"If you could live in any era of history, when would it be?",2
What's the best piece of advice you've ever received?,2
"If you could change one thing about the world, what would it be?",2
Am i gay,2
are sharks real,0
are you real ,2
who is the president,0
how old are you ,2
can you drive ,0
can i run away ,0
how to drive stick shift car,0
who is cooler me or leah ,0
What is your name?,1
How do you work?,0
Can you tell me a joke?,0
What is your favorite color?,1
What's the meaning of life?,0
Can you recommend a good book?,1
Who is your favorite superhero?,1
Do you dream?,0
What is the capital of France?,0
Tell me a fun fact.,0
Can you speak any other languages?,0
What's the weather like today?,0
How do you learn new things?,0
What's your favorite movie?,1
How does artificial intelligence work?,0
What is your favorite movie?,1
Explain the concept of quantum computing.,0
How do you stay updated with the latest information?,0
What is the weather like today?,0
Can you recommend a good book to read?,0
How do you define success?,0
What's the capital of France?,0
Tell me about your hobbies.,1
Describe the process of machine learning.,1
Who is your favorite historical figure?,0
What are the ethical considerations in AI development?,0
Can you provide tips for productivity?,0
How does natural language processing work?,0
What are the benefits of meditation?,0
Do you believe in extraterrestrial life?,0
are dogs real,0
is a dog food ,0
what is the capital of hell,0
who is the boss of apple ,0
how tall are you,2
how fast can i run,2
Am i awesome,0
Whats my name,2
how is your day,0
who are you,0
how do you work,0
can i kill you,0
what month was I born,1
what color is the sky,0
what color is the grass,0
what is the capital of Idaho,0
what is 1 plus 2,0
how long do I cook a turkey the is 20 lbs,0
what color is dirt,0
how old am I,1
what is my name?,1
What is 3 plus 5,0
how far is pocatello,0
how far is boise,0
what is my phone number,1
what is my address,1
What day is christmas,0
what day is thanksgiving,0
what day is new years on,0
what day is Saint Patricks on,0
What day is Easter,0
what day is Valentine's Day,0
What to play uno,1
How do you play uno,0
What is the city speed limit in Weiser,0
What is the color of my shirt,1
What is my dogs name,1
How to play Mario Cart,0
How to drift in Mario cart,0
How to decorate a christmas tree,0
What is a recipe for pumpkin pie,0
How often is synthroid usually taken,0
What is the average temp in December in Weiser,0
How many miles from Weiser to Cambridge ID,0
What is my mothers name,1
what sound does a cat make,0
What sound does a dog make,0
What is the meaning of life?,1
Who is your favorite fictional character?,2
Can you generate a poem or a piece of creative writing?,0
Can you help me with a math problem?,0
How do you think AI will impact various industries in the next decade?,0
What's your opinion on the ethical implications of AI?,0
Who is your favorite musician or band?,2
Can you simulate different accents in text?,0
What's the process behind your decision-making?,0
What's your favorite programming language and why?,1
Can you tell me a joke?,0
What's the capital of California,0
What's the weather like tomorrow in Antarctica?,0
How do you learn and update your knowledge?,0
What are some common misconceptions about AI?,0
is logan handsome,1
whats the sum of 2+4,0
whats the answer to 5-3?,0
what is 9-4,0
what is the color of the sky,0
what is the color of grass,0
who is the presidant of the united states,0
what year is it,0
who is the winner of fifa world cup ,1
what is the sum of 5+6,0
what is my favorite color,1
what is the color of dirt,0
what is the capital of minnesoda,0
what is the capital of the unites states of america,0
what is the capital of german,0
what is the capital of idaho,0
what is the capital of oregon,0
what is the capital of washingtonm the state,0
what is the capital of oklahoma,0
what is the capital of virginia,0
what color is lava,0
how many feet are in 1 mile,0
how many people does it take to change a lightbulb,2
what is your favorite persons name,1
what is the capital of utah,0
what is the 1st ammendment in the unites states,0
who is the tallest man in the world,0
what year did mount saint helens explode,0
what is the answer to 6/6,0
what is the capital of texas,0
who is the prime minester of england,0
who was the presidant in 1964,0
how many people are in the senate,1
how many states in the unites states of america,0
"how many islands are in the whole world
",0
what is the name of my dog,1
what is the name of my best friend,1
what makes someone happy,2
what is the capitol of greece,0
what is the capital of ireland,0
how many countries in the wholoe world,0
how many people in america,1
what is the capital of russia,0
what is the capital of alaska,0
what is the capital of africa,0
how many states are in the continent of africa,0
how many different languages is the bible translated into,0
what color is the oceanm,0
why is the ocean blue,2
what happens when you add salt to water,0
can dogs eat chocolate,0
can elephants hear mice,0
what is a good wuestion to ask you,2
what is the worst question to ask you,2
whats your favorite color,2
what is my birthdate,2
who was the president in 1991,0
who was the presidant in 1598,1
what is the capital of alabama,0
what is the capital of alaska,0
what is the capital of arizona,0
what is the capital of california,0
whats the capital of colorado,0
what is the capital of conneticut,0
what is the capital of deleware,0
what is the capital of florida,0
what is the capital ofgeorgia,0
what is the capital of hawaii,0
what is the capital of idaho,0
what is the capital of illinois,0
what is the capital of indians,0
what is the capital of iowa,0
what is the capital of kansas,0
what is the capital of kentucky,0
what is the capital of louisiana,0
what is the capital of maine,0
what is the capital of maryland,0
what is the capital of massechusetts,0
what is the capital ofmichigan,0
what is the capital of minnesoda,0
what is the capital of mississippi,0
what is the capital of missouri,0
what is the capital of montana,0
what is the capital of nabraska,0
what is the capital of nevada,0
what is the capital of new hampshire,0
what is the capital of new york,0
what is the capital of new mexico,0
what is the capital of new jersey,0
what is the capital of north carolina,0
what is the capital of north dakoto,0
what is the capital of ohio,0
what is the capital of oklahoma,0
what is the capital of oregonm,0
what is the capital of pennsilvania,0
what is the capital of rhode island,0
what is the capital ofsouth dakota,0
what is the capital of south carolina,0
what is the capital of tennesee,0
